SessionTime,SessionTitle,Room,Chair,join_key
"Tue, Jul 29 08:30–17:30",Registration Desk Open,HH Lobby,,
"Tue, Jul 29 09:00–10:00","Plenary Talk by Peter Glynn, Stanford U, Combining Simulation and Linear Algebra: COSIMLA",HH Auditorium,Chang-Han Rhee,peter glynn
"Tue, Jul 29 10:00–10:30",Coffee Break,HH Lobby,,
"Tue, Jul 29 10:30–12:30","Track A: Stochastic Computation and Complexity, Part III",HH Auditorium,,stochastic computation and complexity part iii
"Tue, Jul 29 10:30–12:30","Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I",HH Ballroom,,next generation optimal experimental design theory scalability and real world impact part i
"Tue, Jul 29 10:30–12:30",Track C: Heavy-tailed Sampling,PH Auditorium,,heavy tailed sampling
"Tue, Jul 29 10:30–12:30","Track D: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part I",WH Auditorium,,frontiers in quasi monte carlo and markov chain monte carlo methods part i
"Tue, Jul 29 10:30-12:30",Track E: Technical Session 2 - Bayesian Methods,HH Alumni Lounge,,technical session 2
"Tue, Jul 29 12:30–14:00",Lunch Break,,,
"Tue, Jul 29 14:00–15:00","Plenary Talk by Roshan Joseph, Georgia Institute of Technology, Sensitivity and Screening: From Monte Carlo to Experimental Design",HH Auditorium,Simon Mak,roshan joseph
"Tue, Jul 29 15:00–15:30",Coffee Break,HH Lobby,,
"Tue, Jul 29 15:30–17:30","Track F: Stochastic Computation and Complexity, Part IV",HH Auditorium,,stochastic computation and complexity part iv
"Tue, Jul 29 15:30–17:30","Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II",HH Ballroom,,next generation optimal experimental design theory scalability and real world impact part ii
"Tue, Jul 29 15:30–17:30",Track H: Advances in Rare Events Simulation,PH Auditorium,,advances in rare events simulation
"Tue, Jul 29 15:30–17:30","Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II",WH Auditorium,,frontiers in quasi monte carlo and markov chain monte carlo methods part ii
"Tue, Jul 29 15:30-17:30","Track J: Technical Session 5 - Quasi-Monte Carlo, Part 2",HH Alumni Lounge,,technical session 5
